Zipcode,Household_Income,Income_per_Capita,Population
93247,34309.0,14504.0,18522.0
93249,35094.0,11559.0,2088.0
91354,126753.0,47694.0,32096.0
91010,72381.0,30009.0,26601.0
91203,55783.0,30757.0,15000.0
91340,53564.0,18502.0,36227.0
91362,109934.0,59080.0,36062.0
91364,103278.0,55861.0,27340.0
91202,70841.0,39089.0,23317.0
91207,88365.0,52898.0,11371.0
91208,102950.0,51866.0,16049.0
91214,100625.0,42574.0,30654.0
91307,116803.0,48443.0,26595.0
91311,86156.0,41075.0,40420.0
93252,30526.0,11648.0,2738.0
93270,37697.0,18998.0,5542.0
93291,57223.0,25454.0,57968.0
93304,38102.0,16304.0,49976.0
93306,53254.0,23263.0,73401.0
93307,38891.0,14175.0,84809.0
93420,83210.0,41128.0,30136.0
93454,62015.0,22512.0,40604.0
93458,53890.0,15745.0,57369.0
93461,56208.0,25507.0,1451.0
93536,75380.0,28224.0,72383.0
93546,66500.0,33649.0,9359.0
93635,52664.0,20872.0,40759.0
93640,29962.0,9179.0,12727.0
93646,26413.0,11048.0,10873.0
93647,36884.0,13227.0,10896.0
93653,70370.0,32755.0,1383.0
93657,53624.0,22576.0,34723.0
93703,31209.0,14447.0,33000.0
93725,43469.0,15549.0,26980.0
93436,59375.0,26175.0,56406.0
93441,101964.0,55126.0,1013.0
93518,36298.0,28612.0,975.0
92358,41100.0,29279.0,782.0
92404,44474.0,17474.0,61216.0
92407,63171.0,19507.0,69222.0
92561,71343.0,40499.0,1278.0
92651,126469.0,92802.0,24746.0
92653,99078.0,48483.0,29986.0
92656,108288.0,47999.0,52124.0
92692,114167.0,52914.0,47576.0
92703,57186.0,15714.0,70595.0
92782,112204.0,55817.0,22704.0
92801,60554.0,21624.0,67053.0
92807,107390.0,47244.0,35777.0
92831,65948.0,31315.0,37353.0
92832,61208.0,26919.0,25134.0
92833,74578.0,31792.0,52922.0
92845,99063.0,40517.0,16600.0
92612,79366.0,45861.0,32362.0
92614,97742.0,47091.0,26676.0
92627,71776.0,36552.0,63212.0
92647,80218.0,35934.0,62718.0
92648,93413.0,57288.0,46890.0
92655,42342.0,19283.0,8415.0
92663,103965.0,75326.0,21572.0
92676,103935.0,51174.0,2154.0
92707,73648.0,21047.0,61026.0
92841,59882.0,22930.0,34061.0
92844,57126.0,21846.0,23878.0
92861,146417.0,71700.0,5872.0
92865,101643.0,35984.0,20741.0
92868,65217.0,25123.0,27693.0
92009,126348.0,60032.0,45827.0
92014,140625.0,91177.0,13863.0
92029,90278.0,43994.0,19149.0
92057,72633.0,31842.0,58347.0
92061,44325.0,21303.0,2376.0
92082,83788.0,35805.0,18065.0
92102,47467.0,22676.0,44500.0
92131,128653.0,55063.0,34359.0
92203,67739.0,33932.0,30744.0
92239,40000.0,24428.0,274.0
92268,47500.0,30714.0,597.0
92281,35809.0,13260.0,2859.0
92352,79340.0,41295.0,5729.0
92368,32545.0,14731.0,1100.0
92373,69818.0,40954.0,33264.0
92374,71297.0,29683.0,43633.0
94933,79028.0,40688.0,671.0
94941,145602.0,97545.0,32013.0
94971,106000.0,79907.0,288.0
94924,59167.0,52677.0,1134.0
94920,166313.0,119318.0,12797.0
94949,89871.0,57090.0,17452.0
94956,68651.0,58372.0,1224.0
94002,134529.0,70269.0,27202.0
94107,150451.0,93088.0,29689.0
94109,88593.0,80359.0,56677.0
94115,114819.0,83646.0,35004.0
94124,56607.0,28457.0,35363.0
94130,59063.0,20774.0,3064.0
94133,66811.0,58218.0,26527.0
94502,140463.0,58560.0,14619.0
94507,226450.0,98590.0,15646.0
94514,68958.0,39569.0,1461.0
94523,109161.0,51967.0,35096.0
94539,170358.0,61948.0,52802.0
94544,74896.0,28569.0,79235.0
94005,110372.0,57719.0,4692.0
94019,122959.0,63219.0,20314.0
94024,237454.0,106527.0,23961.0
94030,120533.0,54618.0,22710.0
94037,90066.0,50159.0,2692.0
94103,57015.0,61694.0,28735.0
94104,52679.0,70085.0,546.0
94127,158162.0,76075.0,21423.0
94129,184035.0,82404.0,3994.0
94501,89769.0,46554.0,63843.0
94525,74534.0,41184.0,3094.0
94549,159583.0,85832.0,29639.0
94560,108181.0,39107.0,46276.0
94568,140864.0,57510.0,54420.0
94619,85855.0,45967.0,24308.0
94804,55903.0,27156.0,41510.0
94925,147587.0,76803.0,9866.0
92386,40714.0,24493.0,2140.0
92397,61496.0,32989.0,4571.0
92549,68977.0,36199.0,2464.0
92563,90906.0,29246.0,68128.0
92591,83189.0,33885.0,41107.0
92610,131845.0,54090.0,14149.0
92624,97976.0,60013.0,6402.0
92629,100243.0,62317.0,26744.0
92649,97459.0,54453.0,34406.0
92701,46728.0,15878.0,53565.0
92675,88692.0,47285.0,37457.0
92683,61813.0,27611.0,91376.0
94929,117813.0,65447.0,219.0
94065,161719.0,80612.0,12579.0
94066,102081.0,45233.0,43124.0
94086,129112.0,63667.0,49630.0
94304,127731.0,101737.0,3902.0
94110,123576.0,65610.0,74161.0
94112,89355.0,34344.0,85166.0
94132,74187.0,35562.0,31488.0
94511,38801.0,30032.0,2010.0
94513,103128.0,38990.0,62991.0
94533,67442.0,28050.0,75635.0
94061,105513.0,52419.0,39624.0
94070,172048.0,84104.0,31049.0
94105,213009.0,138902.0,9155.0
94121,95036.0,56800.0,43795.0
94301,153733.0,103513.0,17191.0
